iter	Passed	Remaining
643	15575	8609
644	15598	8585
645	15622	8560
646	15646	8536
647	15671	8512
648	15696	8488
649	15722	8465
650	15744	8440
651	15769	8416
652	15792	8391
653	15816	8367
654	15840	8343
655	15865	8319
656	15888	8294
657	15912	8270
658	15936	8246
659	15960	8222
660	16000	8206
661	16024	8181
662	16049	8158
663	16072	8133
664	16096	8108
665	16119	8083
666	16142	8059
667	16170	8036
668	16193	8012
669	16220	7989
670	16242	7963
671	16268	7940
672	16292	7916
673	16319	7893
674	16342	7868
675	16367	7844
676	16391	7820
677	16416	7796
678	16441	7772
679	16468	7750
680	16492	7725
681	16516	7701
682	16540	7677
683	16565	7653
684	16589	7628
685	16614	7604
686	16640	7581
687	16665	7557
688	16688	7532
689	16713	7509
690	16735	7483
691	16761	7460
692	16784	7435
693	16808	7411
694	16832	7386
695	16857	7362
696	16880	7338
697	16904	7314
698	16931	7290
699	16955	7266
700	16981	7243
701	17006	7219
702	17032	7195
703	17057	7171
704	17081	7147
705	17110	7125
706	17134	7101
707	17157	7076
708	17181	7051
709	17205	7027
710	17231	7003
711	17256	6980
712	17281	6956
713	17303	6930
714	17328	6907
715	17352	6882
716	17377	6858
717	17404	6835
718	17428	6811
719	17451	6786
720	17476	6762
721	17499	6738
722	17522	6713
723	17545	6688
724	17570	6664
725	17594	6640
726	17617	6615
727	17642	6591
728	17666	6567
729	17690	6543
730	17717	6519
731	17741	6495
732	17765	6471
733	17787	6446
734	17810	6421
735	17834	6397
736	17858	6372
737	17883	6349
738	17909	6325
739	17931	6300
740	17955	6275
741	17979	6251
742	18004	6227
743	18029	6203
744	18054	6179
745	18077	6155
746	18101	6130
747	18125	6106
748	18149	6082
749	18174	6058
750	18197	6033
751	18221	6009
752	18245	5984
753	18270	5961
754	18292	5935
755	18317	5911
756	18342	5888
757	18365	5863
758	18389	5839
759	18413	5814
760	18438	5790
761	18460	5765
762	18487	5742
763	18510	5718
764	18537	5694
765	18560	5670
766	18586	5646
767	18609	5621
768	18633	5597
769	18659	5573
770	18684	5549
771	18706	5524
772	18730	5500
773	18754	5476
774	18776	5451
775	18802	5427
776	18824	5402
777	18848	5378
778	18871	5353
779	18884	5326
780	18907	5301
781	18931	5277
782	18958	5254
783	18982	5229
784	19004	5205
785	19027	5180
786	19052	5156
787	19075	5132
788	19101	5108
789	19125	5083
790	19150	5059
791	19172	5035
792	19198	5011
793	19221	4986
794	19242	4961
795	19268	4938
796	19291	4913
797	19315	4889
798	19340	4865
799	19365	4841
800	19389	4817
801	19415	4793
802	19440	4769
803	19464	4745
804	19488	4720
805	19513	4696
806	19537	4672
807	19562	4648
808	19588	4624
809	19612	4600
810	19635	4575
811	19659	4551
812	19682	4527
813	19706	4503
814	19732	4479
815	19757	4455
816	19782	4431
817	19805	4406
818	19830	4382
819	19854	4358
820	19880	4334
821	19903	4309
822	19927	4285
823	19950	4261
824	19972	4236
825	19996	4212
826	20022	4188
827	20048	4164
828	20071	4140
829	20096	4116
830	20118	4091
831	20143	4067
832	20167	4043
833	20195	4019
834	20217	3995
835	20240	3970
836	20264	3946
837	20289	3922
838	20311	3897
839	20335	3873
840	20361	3849
841	20385	3825
842	20409	3800
843	20433	3776
844	20458	3752
845	20482	3728
846	20508	3704
847	20532	3680
848	20555	3655
849	20577	3631
850	20599	3606
851	20623	3582
852	20647	3558
853	20675	3534
854	20699	3510
855	20724	3486
856	20748	3462
857	20772	3437
858	20796	3413
859	20821	3389
860	20844	3365
861	20866	3340
862	20890	3316
863	20913	3292
864	20940	3268
865	20962	3243
866	20989	3219
867	21011	3195
868	21036	3171
869	21060	3146
870	21086	3122
871	21107	3098
872	21133	3074
873	21157	3050
874	21180	3025
875	21203	3001
876	21226	2977
877	21248	2952
878	21272	2928
879	21296	2904
880	21321	2879
881	21345	2855
882	21370	2831
883	21394	2807
884	21418	2783
885	21444	2759
886	21466	2734
887	21490	2710
888	21514	2686
889	21538	2662
890	21562	2637
891	21587	2613
892	21611	2589
893	21636	2565
894	21661	2541
895	21688	2517
896	21710	2492
897	21735	2468
898	21760	2444
899	21785	2420
900	21809	2396
901	21834	2372
902	21857	2347
903	21883	2323
904	21907	2299
905	21932	2275
906	21957	2251
907	21981	2227
908	22004	2202
909	22028	2178
910	22051	2154
911	22077	2130
912	22102	2106
913	22126	2081
914	22151	2057
915	22175	2033
916	22199	2009
917	22224	1985
918	22249	1961
919	22273	1936
920	22297	1912
921	22321	1888
922	22345	1864
923	22372	1840
924	22397	1816
925	22422	1791
926	22446	1767
927	22470	1743
928	22495	1719
929	22521	1695
930	22547	1671
931	22569	1646
932	22592	1622
933	22617	1598
934	22641	1574
935	22665	1549
936	22694	1525
937	22717	1501
938	22740	1477
939	22766	1453
940	22790	1428
941	22814	1404
942	22840	1380
943	22865	1356
944	22889	1332
945	22914	1307
946	22935	1283
947	22959	1259
948	22985	1235
949	23010	1211
950	23032	1186
951	23056	1162
952	23080	1138
953	23103	1114
954	23128	1089
955	23153	1065
956	23179	1041
957	23202	1017
958	23226	993
959	23250	968
960	23273	944
961	23299	920
962	23322	896
963	23346	871
964	23370	847
965	23394	823
966	23417	799
967	23443	774
968	23467	750
969	23491	726
970	23515	702
971	23539	678
972	23563	653
973	23586	629
974	23614	605
975	23639	581
976	23664	557
977	23689	532
978	23712	508
979	23737	484
980	23764	460
981	23790	436
982	23813	411
983	23838	387
984	23862	363
985	23887	339
986	23911	314
987	23937	290
988	23960	266
989	23984	242
990	24008	218
991	24031	193
992	24056	169
993	24082	145
994	24107	121
995	24130	96
996	24155	72
997	24180	48
998	24203	24
999	24227	0
