iter	Logloss
0	0.6016853613
1	0.5447324486
2	0.508867256
3	0.4865890275
4	0.4720477298
5	0.461603392
6	0.4543601174
7	0.4489847001
8	0.4453488361
9	0.4422900262
10	0.4398462394
11	0.4379203185
12	0.4364705842
13	0.4350688871
14	0.4341261849
15	0.4331885982
16	0.4324186714
17	0.4316271713
18	0.4310277804
19	0.430680299
20	0.4303240578
21	0.4299214608
22	0.4296342046
23	0.429313924
24	0.4290147986
25	0.4288126962
26	0.4286010596
27	0.4284015352
28	0.4282478561
29	0.4281106418
30	0.4278894696
31	0.4275883224
32	0.427485984
33	0.4273450811
34	0.4272422673
35	0.4270848571
36	0.426997982
37	0.4267905309
38	0.4266631859
39	0.4265912448
40	0.4264764698
41	0.4263853137
42	0.426205853
43	0.4261104676
44	0.4260494374
45	0.4259568961
46	0.4258817935
47	0.4258269729
48	0.4257418163
49	0.4256793657
50	0.4256192827
51	0.4255754331
52	0.4254116928
53	0.4253174397
54	0.4252461094
55	0.4251492559
56	0.4250310095
57	0.4249171683
58	0.4247771267
59	0.424674712
60	0.4245709177
61	0.4244322704
62	0.4243710467
63	0.4243205065
64	0.4242388469
65	0.4241782156
66	0.4240769292
67	0.4239548232
68	0.4239068754
69	0.4238687553
70	0.423811552
71	0.4237668138
72	0.4236816502
73	0.423597184
74	0.4235166086
75	0.4234183553
76	0.4233432415
77	0.423294129
78	0.4232765957
79	0.4232151471
80	0.423142534
81	0.4231018368
82	0.4229897679
83	0.4229599242
84	0.422865241
85	0.4228220658
86	0.4227872316
87	0.4227432588
88	0.4227111363
89	0.4226665719
90	0.4225961904
91	0.4225541824
92	0.4224791693
93	0.4224486222
94	0.4224162436
95	0.4223494955
96	0.422296432
97	0.4222417335
98	0.422201572
99	0.4221550782
100	0.4221137006
101	0.4220783528
102	0.4220368857
103	0.4220087687
104	0.4219804094
105	0.4219470104
106	0.4219030631
107	0.4218331962
108	0.4218030166
109	0.4217583066
110	0.4217184826
111	0.4216904645
112	0.4216730054
113	0.4216152676
114	0.4215229689
115	0.4214932542
116	0.4214630961
117	0.4214260749
118	0.4213848573
119	0.4213398296
120	0.4212631176
121	0.4211952554
122	0.4211525912
123	0.4211207959
124	0.4210709162
